record_id,base_product_id,serial,battery,body_grade,lcd_grade,digitizer_grade,overall_grade,ram,storage,processor,warranty,price,defects_or_notes,inventory_status
1,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M1,80,A,A,A,C,32GB,64GB,-,30,500,-,Defective
2,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M2,100,A,A,A,B,32GB,64GB,-,30,500,-,Tested/Graded
3,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M3,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
4,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M4,70,A,A,A,C,32GB,64GB,-,30,500,-,Defective
5,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M5,100,A,A,A,B,32GB,64GB,-,30,500,-,Tested/Graded
6,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M6,100,A,A,A,C,32GB,64GB,-,30,500,-,Tested/Graded
7,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M7,100,A,A,A,C,32GB,64GB,-,30,500,-,Tested/Graded
8,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M8,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
9,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M9,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
10,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M10,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
11,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M11,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
12,iPad2WiFi32GBSpaceGray,DMQD7TMFMF3M12,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
13,iPad2WiFi32GBSpaceGray,R72F1QJ62X,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
14,iPad2WiFi32GBSpaceGray,F9FRFN0HGHKH,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
15,iPad2WiFi32GBSpaceGray,DLXN2FKQFK10,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
16,IPAD6-32W-GY,DMQD7TMFMF3M14,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
17,IPAD6-32W-GY,DMQD7TMFMF3M15,100,A,A,A,B,32GB,64GB,-,30,500,-,Tested/Graded
18,IPAD6-32W-GY,DMQD7TMFMF3M16,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
19,IPAD6-32W-GY,DMQD7TMFMF3M17,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
20,IPAD6-32W-GY,DMQD7TMFMF3M18111,100,A,A,A,A,32GB,64GB,-,30,500,-,Tested/Graded
